bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 06:10:00,797,1.14259,1.14262,1.14247,706,387,LOW_FIRST,7430318038565506965
2026.07.09 06:15:00,882,1.14257,1.14257,1.14230,0,711,HIGH_FIRST,9734755909532942172
2026.07.09 06:20:00,749,1.14239,1.14245,1.14218,692,504,LOW_FIRST,6981449859645267710
2026.07.09 06:25:00,607,1.14243,1.14269,1.14241,195,20,LOW_FIRST,7001105361666516633
2026.07.09 06:30:00,940,1.14265,1.14304,1.14260,670,17,LOW_FIRST,18060745641890337915
2026.07.09 06:35:00,829,1.14284,1.14305,1.14281,605,10,LOW_FIRST,9379649381276494513
2026.07.09 06:40:00,742,1.14298,1.14302,1.14270,55,691,HIGH_FIRST,9287576469154731171
2026.07.09 06:45:00,559,1.14282,1.14282,1.14261,0,537,HIGH_FIRST,2743564739421150849
2026.07.09 06:50:00,617,1.14262,1.14290,1.14259,499,28,LOW_FIRST,12402700763283161434
2026.07.09 06:55:00,660,1.14283,1.14286,1.14264,13,428,HIGH_FIRST,516725810566207122
2026.07.09 07:00:00,934,1.14268,1.14272,1.14248,7,622,HIGH_FIRST,16800403373403185398
2026.07.09 07:05:00,757,1.14261,1.14275,1.14261,383,0,LOW_FIRST,11977881990665943477
2026.07.09 07:10:00,691,1.14270,1.14274,1.14256,48,430,HIGH_FIRST,4709150018535569148
2026.07.09 07:15:00,635,1.14265,1.14266,1.14232,29,414,HIGH_FIRST,14821120276737586031
2026.07.09 07:20:00,605,1.14233,1.14259,1.14231,468,3,LOW_FIRST,3342125777667466541
2026.07.09 07:25:00,581,1.14252,1.14261,1.14250,404,449,HIGH_FIRST,16897401274121061973
2026.07.09 07:30:00,600,1.14255,1.14271,1.14252,390,4,LOW_FIRST,16759795355846309028
2026.07.09 07:35:00,540,1.14264,1.14268,1.14253,22,527,HIGH_FIRST,9561429386858117951
2026.07.09 07:40:00,674,1.14253,1.14259,1.14249,62,365,HIGH_FIRST,4603360217358967573
2026.07.09 07:45:00,493,1.14256,1.14264,1.14252,197,57,LOW_FIRST,11840129072076555501
2026.07.09 07:50:00,663,1.14261,1.14273,1.14255,645,555,LOW_FIRST,1480048118809945180
2026.07.09 07:55:00,542,1.14271,1.14274,1.14264,277,340,HIGH_FIRST,14743875436637738987
2026.07.09 08:00:00,743,1.14267,1.14281,1.14264,234,57,LOW_FIRST,2126825100713978157
2026.07.09 08:05:00,730,1.14270,1.14277,1.14264,641,17,LOW_FIRST,9022069314684846598
2026.07.09 08:10:00,1881,1.14270,1.14341,1.14260,1297,154,LOW_FIRST,4691407448259316396
2026.07.09 08:15:00,1275,1.14320,1.14331,1.14292,261,975,HIGH_FIRST,7008263299023990131
2026.07.09 08:20:00,716,1.14304,1.14307,1.14284,683,610,LOW_FIRST,14332656344667345229
2026.07.09 08:25:00,760,1.14302,1.14328,1.14301,705,9,LOW_FIRST,7864170937725121762
2026.07.09 08:30:00,1223,1.14323,1.14334,1.14308,1083,336,LOW_FIRST,5465138994215796840
2026.07.09 08:35:00,1168,1.14334,1.14335,1.14318,17,591,HIGH_FIRST,18276204234420414585
2026.07.09 08:40:00,1228,1.14332,1.14333,1.14298,3,781,HIGH_FIRST,7435497727494372712
2026.07.09 08:45:00,856,1.14317,1.14330,1.14314,822,47,LOW_FIRST,9279273244650896782
2026.07.09 08:50:00,1014,1.14330,1.14338,1.14320,85,582,HIGH_FIRST,6422323412713549124
2026.07.09 08:55:00,1066,1.14327,1.14327,1.14292,0,751,HIGH_FIRST,15693481542317767425
2026.07.09 09:00:00,1543,1.14308,1.14370,1.14308,871,0,LOW_FIRST,18249855352411850484
2026.07.09 09:05:00,1531,1.14358,1.14364,1.14344,694,505,LOW_FIRST,17759399811106865354
2026.07.09 09:10:00,1464,1.14359,1.14361,1.14328,74,1172,HIGH_FIRST,10645442724111875686
2026.07.09 09:15:00,1602,1.14344,1.14369,1.14337,557,28,LOW_FIRST,8828822204751545290
2026.07.09 09:20:00,2163,1.14359,1.14456,1.14355,2079,83,LOW_FIRST,1093455583982912676
2026.07.09 09:25:00,2216,1.14441,1.14477,1.14435,1158,223,LOW_FIRST,14880714697403901554
2026.07.09 09:30:00,2103,1.14469,1.14495,1.14449,1655,212,LOW_FIRST,7568731242080407144
2026.07.09 09:35:00,1577,1.14490,1.14492,1.14424,71,1181,HIGH_FIRST,17025814655904255734
2026.07.09 09:40:00,1363,1.14448,1.14457,1.14416,1352,477,LOW_FIRST,2860974010636795130
2026.07.09 09:45:00,1206,1.14455,1.14459,1.14424,72,1193,HIGH_FIRST,1025355212679980433
2026.07.09 09:50:00,1019,1.14435,1.14448,1.14404,470,818,HIGH_FIRST,9872874505905370394
2026.07.09 09:55:00,1257,1.14409,1.14424,1.14392,129,699,HIGH_FIRST,2833406731707417684
2026.07.09 10:00:00,1432,1.14420,1.14424,1.14384,158,1326,HIGH_FIRST,4747906956464578931
2026.07.09 10:05:00,1221,1.14386,1.14388,1.14350,12,536,HIGH_FIRST,16049418057567284546
2026.07.09 10:10:00,1641,1.14378,1.14389,1.14350,132,920,HIGH_FIRST,13943699850340169564
2026.07.09 10:15:00,1505,1.14368,1.14393,1.14347,1405,880,LOW_FIRST,1509018868774438840
2026.07.09 10:20:00,1206,1.14377,1.14389,1.14361,693,58,LOW_FIRST,4623743055608801870
2026.07.09 10:25:00,1247,1.14373,1.14387,1.14367,1105,54,LOW_FIRST,14947583521717809149
2026.07.09 10:30:00,1116,1.14378,1.14386,1.14352,81,438,HIGH_FIRST,6730448398739425135
2026.07.09 10:35:00,1051,1.14357,1.14375,1.14349,332,118,LOW_FIRST,10278899440741175220
2026.07.09 10:40:00,1183,1.14363,1.14370,1.14346,215,1036,HIGH_FIRST,14122663358227054636
2026.07.09 10:45:00,1192,1.14355,1.14357,1.14324,18,385,HIGH_FIRST,13878221477717830980
2026.07.09 10:50:00,1096,1.14344,1.14352,1.14322,1042,368,LOW_FIRST,17842804924999891108
2026.07.09 10:55:00,1492,1.14342,1.14361,1.14317,1424,348,LOW_FIRST,11974290299732205631
2026.07.09 11:00:00,1691,1.14356,1.14360,1.14335,1613,981,LOW_FIRST,3708004859641024867
2026.07.09 11:05:00,1315,1.14352,1.14381,1.14342,719,114,LOW_FIRST,15305253414005723134
2026.07.09 11:10:00,1168,1.14371,1.14384,1.14339,370,945,HIGH_FIRST,2257575307642937691
2026.07.09 11:15:00,1137,1.14358,1.14378,1.14351,567,339,LOW_FIRST,15469571598316538338
