bar_time,ticks_in_bar,open,high,low,idx_high,idx_low,order,running_hash
2026.07.09 10:00:00,1123,1.14420,1.14424,1.14384,70,1070,HIGH_FIRST,7125663619414440033
2026.07.09 10:05:00,911,1.14386,1.14388,1.14350,22,366,HIGH_FIRST,6147052242508183083
2026.07.09 10:10:00,1200,1.14378,1.14389,1.14350,159,625,HIGH_FIRST,9502667706680421407
2026.07.09 10:15:00,1106,1.14368,1.14393,1.14347,952,576,LOW_FIRST,4976625917413742450
2026.07.09 10:20:00,950,1.14377,1.14389,1.14361,580,105,LOW_FIRST,18093121271417725573
2026.07.09 10:25:00,955,1.14373,1.14387,1.14367,815,64,LOW_FIRST,1786189296934213295
2026.07.09 10:30:00,848,1.14378,1.14386,1.14352,43,319,HIGH_FIRST,13686245643916874036
2026.07.09 10:35:00,816,1.14357,1.14375,1.14349,272,40,LOW_FIRST,11355803807103760868
2026.07.09 10:40:00,865,1.14363,1.14370,1.14346,234,725,HIGH_FIRST,7498534814255494039
2026.07.09 10:45:00,927,1.14355,1.14357,1.14324,22,301,HIGH_FIRST,566989602210809295
2026.07.09 10:50:00,817,1.14344,1.14352,1.14322,745,365,LOW_FIRST,15095425213645030367
2026.07.09 10:55:00,1148,1.14342,1.14361,1.14317,1057,278,LOW_FIRST,5321702917691011858
2026.07.09 11:00:00,1324,1.14356,1.14360,1.14335,1260,766,LOW_FIRST,16677239606078571364
2026.07.09 11:05:00,1062,1.14352,1.14381,1.14342,503,52,LOW_FIRST,2563743630973756252
2026.07.09 11:10:00,909,1.14371,1.14384,1.14339,246,753,HIGH_FIRST,2217261613150149612
2026.07.09 11:15:00,872,1.14358,1.14378,1.14351,483,303,LOW_FIRST,1706520353106537692
2026.07.09 11:20:00,1090,1.14373,1.14378,1.14337,52,751,HIGH_FIRST,1711914626728124230
2026.07.09 11:25:00,939,1.14361,1.14371,1.14342,473,159,LOW_FIRST,15816520768487098641
2026.07.09 11:30:00,1092,1.14365,1.14373,1.14337,314,996,HIGH_FIRST,5484591471300885921
2026.07.09 11:35:00,919,1.14345,1.14358,1.14332,451,868,HIGH_FIRST,16961570808698687543
2026.07.09 11:40:00,923,1.14337,1.14337,1.14311,0,728,HIGH_FIRST,11251193870258975767
2026.07.09 11:45:00,922,1.14322,1.14328,1.14290,43,488,HIGH_FIRST,418168635148965113
2026.07.09 11:50:00,894,1.14293,1.14307,1.14282,818,709,LOW_FIRST,6255031237302759716
2026.07.09 11:55:00,1258,1.14304,1.14308,1.14250,22,919,HIGH_FIRST,972811250504585836
2026.07.09 12:00:00,1007,1.14266,1.14287,1.14264,789,185,LOW_FIRST,15395332589778903368
2026.07.09 12:05:00,1009,1.14277,1.14280,1.14242,14,474,HIGH_FIRST,10383600258509373059
2026.07.09 12:10:00,894,1.14247,1.14269,1.14237,638,70,LOW_FIRST,5324982235718749395
2026.07.09 12:15:00,557,1.14260,1.14276,1.14252,409,40,LOW_FIRST,5298192039037818539
2026.07.09 12:20:00,758,1.14263,1.14285,1.14260,369,726,HIGH_FIRST,12703649560745467439
2026.07.09 12:25:00,889,1.14263,1.14282,1.14248,535,426,LOW_FIRST,6447185726560547365
2026.07.09 12:30:00,816,1.14273,1.14278,1.14250,55,455,HIGH_FIRST,7520041702130389394
2026.07.09 12:35:00,772,1.14255,1.14275,1.14252,438,14,LOW_FIRST,7512472898563529541
2026.07.09 12:40:00,1183,1.14270,1.14277,1.14236,252,447,HIGH_FIRST,1053724018678141546
2026.07.09 12:45:00,766,1.14262,1.14278,1.14251,704,43,LOW_FIRST,4160857616822334543
2026.07.09 12:50:00,726,1.14273,1.14297,1.14272,679,13,LOW_FIRST,4770923151815690569
2026.07.09 12:55:00,859,1.14294,1.14316,1.14288,659,128,LOW_FIRST,8193768946257089074
2026.07.09 13:00:00,709,1.14308,1.14312,1.14280,16,453,HIGH_FIRST,11780959523056961889
2026.07.09 13:05:00,702,1.14292,1.14296,1.14272,191,321,HIGH_FIRST,15933471556924866808
2026.07.09 13:10:00,942,1.14289,1.14297,1.14281,262,564,HIGH_FIRST,7976182562153252274
2026.07.09 13:15:00,859,1.14292,1.14303,1.14273,482,817,HIGH_FIRST,10814292633132559985
2026.07.09 13:20:00,574,1.14278,1.14287,1.14268,312,541,HIGH_FIRST,11403989542771733830
2026.07.09 13:25:00,636,1.14270,1.14276,1.14262,587,208,LOW_FIRST,13520922069944031717
2026.07.09 13:30:00,884,1.14270,1.14296,1.14261,835,128,LOW_FIRST,6177051560898114359
2026.07.09 13:35:00,761,1.14294,1.14318,1.14287,327,724,HIGH_FIRST,147620222309903115
2026.07.09 13:40:00,611,1.14287,1.14290,1.14269,40,571,HIGH_FIRST,15981393406153861516
2026.07.09 13:45:00,888,1.14274,1.14286,1.14265,554,185,LOW_FIRST,8529193590676867623
2026.07.09 13:50:00,1525,1.14280,1.14281,1.14211,15,626,HIGH_FIRST,17570016265166197505
2026.07.09 13:55:00,1505,1.14238,1.14240,1.14203,82,728,HIGH_FIRST,16099201450422749441
2026.07.09 14:00:00,1553,1.14234,1.14248,1.14220,1180,265,LOW_FIRST,12039547697182290777
2026.07.09 14:05:00,1191,1.14234,1.14243,1.14220,191,660,HIGH_FIRST,977812448851508594
2026.07.09 14:10:00,1077,1.14241,1.14259,1.14234,1002,52,LOW_FIRST,16922668385115945457
2026.07.09 14:15:00,729,1.14258,1.14266,1.14245,40,535,HIGH_FIRST,9004704931925343371
2026.07.09 14:20:00,712,1.14249,1.14255,1.14235,114,298,HIGH_FIRST,503058094788199430
2026.07.09 14:25:00,717,1.14242,1.14253,1.14231,589,671,HIGH_FIRST,5880260212116840431
2026.07.09 14:30:00,866,1.14235,1.14259,1.14220,813,160,LOW_FIRST,12350185182424258337
2026.07.09 14:35:00,734,1.14258,1.14267,1.14245,687,138,LOW_FIRST,7849298166692031554
2026.07.09 14:40:00,782,1.14266,1.14269,1.14252,401,736,HIGH_FIRST,5304896030204666942
2026.07.09 14:45:00,968,1.14257,1.14276,1.14249,374,882,HIGH_FIRST,3393934395785358238
2026.07.09 14:50:00,1002,1.14263,1.14299,1.14249,948,111,LOW_FIRST,3079817329537146259
2026.07.09 14:55:00,927,1.14297,1.14301,1.14282,527,137,LOW_FIRST,11273477201275096665
2026.07.09 15:00:00,1230,1.14297,1.14331,1.14297,735,0,LOW_FIRST,8324053628830764601
2026.07.09 15:05:00,1271,1.14320,1.14354,1.14304,1176,213,LOW_FIRST,8822710152852659219
2026.07.09 15:10:00,1181,1.14345,1.14361,1.14329,436,1122,HIGH_FIRST,3216157918217487848
2026.07.09 15:15:00,913,1.14340,1.14352,1.14337,153,20,LOW_FIRST,16144982678139823252
2026.07.09 15:20:00,1045,1.14347,1.14347,1.14314,0,984,HIGH_FIRST,15269907900642920274
2026.07.09 15:25:00,812,1.14322,1.14331,1.14310,261,545,HIGH_FIRST,17100282156718217244
2026.07.09 15:30:00,952,1.14328,1.14355,1.14317,320,865,HIGH_FIRST,7387239818267553764
2026.07.09 15:35:00,1051,1.14330,1.14332,1.14297,30,1006,HIGH_FIRST,4994197617258776814
2026.07.09 15:40:00,1093,1.14300,1.14314,1.14268,159,875,HIGH_FIRST,13923925243459616640
2026.07.09 15:45:00,1020,1.14284,1.14284,1.14256,0,788,HIGH_FIRST,1082506336011570017
2026.07.09 15:50:00,1339,1.14268,1.14286,1.14248,692,1013,HIGH_FIRST,10283976399946610960
2026.07.09 15:55:00,1315,1.14255,1.14278,1.14226,430,982,HIGH_FIRST,6993898334263117932
2026.07.09 16:00:00,1258,1.14249,1.14271,1.14238,839,61,LOW_FIRST,1532416335507848326
2026.07.09 16:05:00,1102,1.14263,1.14307,1.14255,829,169,LOW_FIRST,13916836461111025078
2026.07.09 16:10:00,911,1.14298,1.14306,1.14278,850,526,LOW_FIRST,13459702717988112249
2026.07.09 16:15:00,1575,1.14303,1.14368,1.14303,831,0,LOW_FIRST,14839447374350303564
2026.07.09 16:20:00,1079,1.14327,1.14334,1.14306,814,599,LOW_FIRST,2499402836285798934
2026.07.09 16:25:00,1278,1.14328,1.14357,1.14326,1195,551,LOW_FIRST,41382199634156393
2026.07.09 16:30:00,1786,1.14344,1.14368,1.14315,367,1360,HIGH_FIRST,12336414721846601574
2026.07.09 16:35:00,1614,1.14328,1.14344,1.14320,1040,224,LOW_FIRST,15551210929365266637
2026.07.09 16:40:00,1404,1.14326,1.14370,1.14320,832,94,LOW_FIRST,5926726925297764476
2026.07.09 16:45:00,1475,1.14348,1.14378,1.14334,1400,546,LOW_FIRST,11520416708476317322
2026.07.09 16:50:00,1366,1.14371,1.14386,1.14352,576,1065,HIGH_FIRST,18331544203645422786
2026.07.09 16:55:00,963,1.14360,1.14393,1.14360,963,0,LOW_FIRST,43907675528147724
2026.07.09 17:00:00,1547,1.14393,1.14462,1.14391,1483,23,LOW_FIRST,18398757197278406781
2026.07.09 17:05:00,1763,1.14458,1.14460,1.14398,28,1682,HIGH_FIRST,11397967923012675663
2026.07.09 17:10:00,1588,1.14402,1.14428,1.14398,729,82,LOW_FIRST,8580403699526283375
2026.07.09 17:15:00,1256,1.14410,1.14411,1.14363,2,1205,HIGH_FIRST,8330021459587513804
2026.07.09 17:20:00,1386,1.14371,1.14411,1.14368,1156,25,LOW_FIRST,7299350693197256320
2026.07.09 17:25:00,1202,1.14404,1.14406,1.14378,22,358,HIGH_FIRST,13352273880808779796
2026.07.09 17:30:00,1617,1.14391,1.14417,1.14358,1525,460,LOW_FIRST,4602950859985719333
2026.07.09 17:35:00,1666,1.14416,1.14430,1.14373,512,1376,HIGH_FIRST,11552465783095272199
2026.07.09 17:40:00,1328,1.14381,1.14382,1.14356,23,733,HIGH_FIRST,18253770116842058302
2026.07.09 17:45:00,1215,1.14366,1.14371,1.14349,58,509,HIGH_FIRST,7742419910185002023
2026.07.09 17:50:00,1943,1.14354,1.14360,1.14329,304,848,HIGH_FIRST,6004888398076950469
2026.07.09 17:55:00,1736,1.14334,1.14343,1.14304,1312,983,LOW_FIRST,15640032672955098280
2026.07.09 18:00:00,1588,1.14329,1.14336,1.14292,109,516,HIGH_FIRST,7673094036478569690
2026.07.09 18:05:00,1401,1.14309,1.14361,1.14308,1330,2,LOW_FIRST,14859456258668158270
2026.07.09 18:10:00,1331,1.14359,1.14362,1.14306,22,1146,HIGH_FIRST,17225404276464036856
2026.07.09 18:15:00,1137,1.14314,1.14333,1.14296,153,1072,HIGH_FIRST,6107395864185626372
2026.07.09 18:20:00,1071,1.14306,1.14317,1.14280,1011,305,LOW_FIRST,15871045158441092959
2026.07.09 18:25:00,1354,1.14310,1.14346,1.14310,588,0,LOW_FIRST,7449911057553495897
2026.07.09 18:30:00,1270,1.14332,1.14341,1.14309,82,1036,HIGH_FIRST,17553777987029222630
2026.07.09 18:35:00,1056,1.14324,1.14335,1.14312,984,568,LOW_FIRST,6151256047295111593
2026.07.09 18:40:00,949,1.14334,1.14376,1.14328,949,40,LOW_FIRST,9085810651844118165
2026.07.09 18:45:00,921,1.14376,1.14389,1.14358,302,120,LOW_FIRST,8458107326769059104
2026.07.09 18:50:00,1164,1.14371,1.14407,1.14371,491,0,LOW_FIRST,16227284680790927475
2026.07.09 18:55:00,1204,1.14400,1.14403,1.14375,24,980,HIGH_FIRST,36807680982842793
2026.07.09 19:00:00,963,1.14388,1.14405,1.14386,265,484,HIGH_FIRST,8991051474357524347
2026.07.09 19:05:00,906,1.14399,1.14403,1.14380,58,153,HIGH_FIRST,11839556033778837220
2026.07.09 19:10:00,930,1.14392,1.14405,1.14374,797,332,LOW_FIRST,15416345940560636029
2026.07.09 19:15:00,831,1.14396,1.14414,1.14373,143,667,HIGH_FIRST,4893240195364494557
2026.07.09 19:20:00,584,1.14376,1.14378,1.14358,34,312,HIGH_FIRST,14903625568347697485
2026.07.09 19:25:00,755,1.14364,1.14384,1.14360,629,166,LOW_FIRST,2853621401047386538
2026.07.09 19:30:00,780,1.14371,1.14378,1.14351,460,717,HIGH_FIRST,5666741078352961693
2026.07.09 19:35:00,898,1.14352,1.14399,1.14350,841,18,LOW_FIRST,7771688778550098480
2026.07.09 19:40:00,690,1.14393,1.14407,1.14381,263,49,LOW_FIRST,12300252109162619183
2026.07.09 19:45:00,643,1.14399,1.14409,1.14394,346,264,LOW_FIRST,6012715838278390334
