trade_id,pattern_id,direction,candle_1,candle_2,candle_3,signal_time,entry_time,reference,sweep,rejection,entry,stop,target,theo_lot,capped_lot,final_lot,planned_risk,actual_risk,margin_req,margin_avail,exit_time,exit_price,exit_reason,pnl,R
1219,P1_EURUSD_1711620600,BUY,2024.03.28 10:00:00,2024.03.28 10:05:00,2024.03.28 10:10:00,2024.03.28 10:10:00,2024.03.28 10:15:00,1.07954,1.07910,1.07915,1.07917,1.07905,1.07941,1.72,1.72,1.72,20.71,20.64,1856.17,2071.00,2024.03.28 10:16:03,1.07905,STOP,-20.64,-1.000
1220,P1_EURUSD_1711625100,BUY,2024.03.28 11:15:00,2024.03.28 11:20:00,2024.03.28 11:25:00,2024.03.28 11:25:00,2024.03.28 11:30:00,1.07776,1.07770,1.07795,1.07797,1.07765,1.07861,0.64,0.64,0.64,20.50,20.48,689.90,2050.36,2024.03.28 11:52:32,1.07765,STOP,-20.48,-1.000
1221,P1_EURUSD_1711627200,BUY,2024.03.28 11:50:00,2024.03.28 11:55:00,2024.03.28 12:00:00,2024.03.28 12:00:00,2024.03.28 12:05:00,1.07761,1.07751,1.07762,1.07764,1.07746,1.07800,1.12,1.12,1.12,20.30,20.16,1206.96,2029.88,2024.03.28 12:10:25,1.07800,TARGET,40.32,2.000
1222,P2_EURUSD_1711629300,SELL,2024.03.28 12:25:00,2024.03.28 12:30:00,2024.03.28 12:35:00,2024.03.28 12:35:00,2024.03.28 12:40:00,1.07859,1.07909,1.07904,1.07904,1.07914,1.07884,2.07,1.82,1.82,20.70,18.20,1963.85,2070.20,2024.03.28 12:40:46,1.07914,STOP,-18.20,-1.000
1223,P1_EURUSD_1711634400,BUY,2024.03.28 13:50:00,2024.03.28 13:55:00,2024.03.28 14:00:00,2024.03.28 14:00:00,2024.03.28 14:05:00,1.07843,1.07827,1.07861,1.07862,1.07822,1.07942,0.51,0.51,0.51,20.52,20.40,550.10,2052.00,2024.03.28 14:42:09,1.07942,TARGET,40.80,2.000
1224,P2_EURUSD_1711638300,SELL,2024.03.28 14:55:00,2024.03.28 15:00:00,2024.03.28 15:05:00,2024.03.28 15:05:00,2024.03.28 15:10:00,1.08088,1.08180,1.08103,1.08103,1.08185,1.07939,0.25,0.25,0.25,20.93,20.50,270.26,2092.80,2024.03.28 16:00:14,1.08186,STOP,-20.75,-1.012
1225,P1_EURUSD_1711642800,BUY,2024.03.28 16:10:00,2024.03.28 16:15:00,2024.03.28 16:20:00,2024.03.28 16:20:00,2024.03.28 16:25:00,1.08063,1.08032,1.08054,1.08056,1.08027,1.08114,0.71,0.71,0.71,20.72,20.59,767.20,2072.05,2024.03.28 16:47:49,1.08026,STOP,-21.30,-1.034
1226,P2_EURUSD_1711647000,SELL,2024.03.28 17:20:00,2024.03.28 17:25:00,2024.03.28 17:30:00,2024.03.28 17:30:00,2024.03.28 17:35:00,1.08010,1.08030,1.08006,1.08006,1.08035,1.07948,0.70,0.70,0.70,20.51,20.30,756.04,2050.75,2024.03.28 17:38:34,1.08035,STOP,-20.30,-1.000
1227,P2_EURUSD_1711650600,SELL,2024.03.28 18:20:00,2024.03.28 18:25:00,2024.03.28 18:30:00,2024.03.28 18:30:00,2024.03.28 18:35:00,1.08020,1.08034,1.08026,1.08026,1.08039,1.08000,1.56,1.56,1.56,20.30,20.28,1685.21,2030.45,2024.03.28 18:37:53,1.08039,STOP,-20.28,-1.000
1228,P2_EURUSD_1711651200,SELL,2024.03.28 18:30:00,2024.03.28 18:35:00,2024.03.28 18:40:00,2024.03.28 18:40:00,2024.03.28 18:45:00,1.08035,1.08046,1.08034,1.08034,1.08051,1.08000,1.18,1.18,1.18,20.10,20.06,1274.80,2010.17,2024.03.28 18:47:16,1.08051,STOP,-20.06,-1.000
1229,P1_EURUSD_1711652400,BUY,2024.03.28 18:50:00,2024.03.28 18:55:00,2024.03.28 19:00:00,2024.03.28 19:00:00,2024.03.28 19:05:00,1.07999,1.07986,1.08010,1.08013,1.07981,1.08077,0.62,0.62,0.62,19.90,19.84,669.68,1990.11,2024.03.28 19:17:40,1.07980,STOP,-20.46,-1.031
1230,P1_EURUSD_1711657200,BUY,2024.03.28 20:10:00,2024.03.28 20:15:00,2024.03.28 20:20:00,2024.03.28 20:20:00,2024.03.28 20:25:00,1.07931,1.07916,1.07917,1.07918,1.07911,1.07932,2.81,1.71,1.71,19.70,11.97,1845.40,1969.65,2024.03.28 20:30:56,1.07911,STOP,-11.97,-1.000
1231,P1_EURUSD_1711659300,BUY,2024.03.28 20:45:00,2024.03.28 20:50:00,2024.03.28 20:55:00,2024.03.28 20:55:00,2024.03.28 21:00:00,1.07891,1.07860,1.07874,1.07873,1.07855,1.07909,1.08,1.08,1.08,19.58,19.44,1165.03,1957.68,2024.03.28 21:15:03,1.07854,STOP,-20.52,-1.056
1232,P2_EURUSD_1711665600,SELL,2024.03.28 22:30:00,2024.03.28 22:35:00,2024.03.28 22:40:00,2024.03.28 22:40:00,2024.03.28 22:45:00,1.07880,1.07885,1.07877,1.07877,1.07890,1.07851,1.49,1.49,1.49,19.37,19.37,1607.37,1937.16,2024.03.28 22:49:00,1.07891,STOP,-20.86,-1.077
1233,P1_EURUSD_1711667100,BUY,2024.03.28 22:55:00,2024.03.28 23:00:00,2024.03.28 23:05:00,2024.03.28 23:05:00,2024.03.28 23:10:00,1.07860,1.07846,1.07866,1.07914,1.07841,1.08060,0.26,0.26,0.26,19.16,18.98,280.58,1916.30,2024.03.29 02:53:51,1.07841,STOP,-19.16,-1.009
1234,P1_EURUSD_1711683300,BUY,2024.03.29 03:25:00,2024.03.29 03:30:00,2024.03.29 03:35:00,2024.03.29 03:35:00,2024.03.29 03:40:00,1.07809,1.07799,1.07801,1.07807,1.07794,1.07833,1.45,1.45,1.45,18.97,18.85,1563.20,1897.14,2024.03.29 03:44:12,1.07789,STOP,-26.10,-1.385
1235,P1_EURUSD_1711685400,BUY,2024.03.29 04:00:00,2024.03.29 04:05:00,2024.03.29 04:10:00,2024.03.29 04:10:00,2024.03.29 04:15:00,1.07751,1.07737,1.07764,1.07773,1.07732,1.07855,0.45,0.45,0.45,18.71,18.45,484.98,1871.04,2024.03.29 09:52:23,1.07726,STOP,-21.15,-1.146
1236,P1_EURUSD_1711706400,BUY,2024.03.29 09:50:00,2024.03.29 09:55:00,2024.03.29 10:00:00,2024.03.29 10:00:00,2024.03.29 10:05:00,1.07693,1.07678,1.07703,1.07710,1.07673,1.07784,0.49,0.49,0.49,18.50,18.13,527.78,1849.89,2024.03.29 10:58:42,1.07784,TARGET,36.26,2.000
1237,P2_EURUSD_1711710000,SELL,2024.03.29 10:50:00,2024.03.29 10:55:00,2024.03.29 11:00:00,2024.03.29 11:00:00,2024.03.29 11:05:00,1.07766,1.07784,1.07779,1.07779,1.07789,1.07759,1.88,1.66,1.66,18.86,16.60,1789.13,1886.15,2024.03.29 11:08:56,1.07790,STOP,-18.26,-1.100
1238,P2_EURUSD_1711713900,SELL,2024.03.29 11:55:00,2024.03.29 12:00:00,2024.03.29 12:05:00,2024.03.29 12:05:00,2024.03.29 12:10:00,1.07822,1.07842,1.07817,1.07817,1.07847,1.07757,0.62,0.62,0.62,18.68,18.60,668.47,1867.89,2024.03.29 12:13:53,1.07847,STOP,-18.60,-1.000
1239,P2_EURUSD_1711715700,SELL,2024.03.29 12:25:00,2024.03.29 12:30:00,2024.03.29 12:35:00,2024.03.29 12:35:00,2024.03.29 12:40:00,1.07862,1.07877,1.07847,1.07847,1.07882,1.07777,0.52,0.52,0.52,18.49,18.20,560.80,1849.29,2024.03.29 13:09:47,1.07882,STOP,-18.20,-1.000
1240,P2_EURUSD_1711718700,SELL,2024.03.29 13:15:00,2024.03.29 13:20:00,2024.03.29 13:25:00,2024.03.29 13:25:00,2024.03.29 13:30:00,1.07889,1.07913,1.07890,1.07890,1.07918,1.07834,0.65,0.65,0.65,18.31,18.20,701.29,1831.09,2024.03.29 14:29:38,1.07826,TARGET,41.60,2.286
1241,P1_EURUSD_1711722600,BUY,2024.03.29 14:20:00,2024.03.29 14:25:00,2024.03.29 14:30:00,2024.03.29 14:30:00,2024.03.29 14:35:00,1.07850,1.07813,1.07899,1.07908,1.07808,1.08108,0.18,0.18,0.18,18.73,18.00,194.23,1872.69,2024.04.01 13:25:43,1.07807,STOP,-18.31,-1.017
1242,P2_EURUSD_1711980900,SELL,2024.04.01 14:05:00,2024.04.01 14:10:00,2024.04.01 14:15:00,2024.04.01 14:15:00,2024.04.01 14:20:00,1.07820,1.07856,1.07831,1.07831,1.07861,1.07771,0.61,0.61,0.61,18.54,18.30,657.77,1854.38,2024.04.01 14:32:40,1.07866,STOP,-21.35,-1.167
1243,P1_EURUSD_1711984500,BUY,2024.04.01 15:05:00,2024.04.01 15:10:00,2024.04.01 15:15:00,2024.04.01 15:15:00,2024.04.01 15:20:00,1.07828,1.07794,1.07813,1.07816,1.07789,1.07870,0.67,0.67,0.67,18.33,18.09,722.37,1833.03,2024.04.01 15:21:09,1.07789,STOP,-18.09,-1.000
1244,P1_EURUSD_1711985100,BUY,2024.04.01 15:15:00,2024.04.01 15:20:00,2024.04.01 15:25:00,2024.04.01 15:25:00,2024.04.01 15:30:00,1.07789,1.07780,1.07790,1.07791,1.07775,1.07823,1.13,1.13,1.13,18.15,18.08,1218.04,1814.94,2024.04.01 15:34:33,1.07775,STOP,-18.08,-1.000
1245,P1_EURUSD_1711989300,BUY,2024.04.01 16:25:00,2024.04.01 16:30:00,2024.04.01 16:35:00,2024.04.01 16:35:00,2024.04.01 16:40:00,1.07782,1.07769,1.07774,1.07777,1.07764,1.07803,1.38,1.38,1.38,17.97,17.94,1487.32,1796.86,2024.04.01 16:44:21,1.07762,STOP,-20.70,-1.154
1246,P1_EURUSD_1711991400,BUY,2024.04.01 17:00:00,2024.04.01 17:05:00,2024.04.01 17:10:00,2024.04.01 17:10:00,2024.04.01 17:15:00,1.07497,1.07469,1.07501,1.07505,1.07464,1.07587,0.43,0.43,0.43,17.76,17.63,462.27,1776.16,2024.04.01 17:17:28,1.07464,STOP,-17.63,-1.000
1247,P1_EURUSD_1711992600,BUY,2024.04.01 17:20:00,2024.04.01 17:25:00,2024.04.01 17:30:00,2024.04.01 17:30:00,2024.04.01 17:35:00,1.07443,1.07435,1.07467,1.07467,1.07430,1.07541,0.47,0.47,0.47,17.59,17.39,505.09,1758.53,2024.04.01 17:35:42,1.07430,STOP,-17.39,-1.000
1248,P1_EURUSD_1711993500,BUY,2024.04.01 17:35:00,2024.04.01 17:40:00,2024.04.01 17:45:00,2024.04.01 17:45:00,2024.04.01 17:50:00,1.07416,1.07400,1.07445,1.07448,1.07395,1.07554,0.32,0.32,0.32,17.41,16.96,343.83,1741.14,2024.04.01 18:08:10,1.07395,STOP,-16.96,-1.000
1249,P1_EURUSD_1711996800,BUY,2024.04.01 18:30:00,2024.04.01 18:35:00,2024.04.01 18:40:00,2024.04.01 18:40:00,2024.04.01 18:45:00,1.07346,1.07323,1.07331,1.07333,1.07318,1.07363,1.14,1.14,1.14,17.24,17.10,1223.60,1724.18,2024.04.01 18:46:16,1.07318,STOP,-17.10,-1.000
