id,dir,entry,stop,risk,spread_pips,pl,R
42,BUY,1.26549,1.26349,100.00,0.100,200.50,2.005
43,SELL,1.27001,1.27201,102.00,0.500,-103.12,-1.011
44,BUY,1.27049,1.26849,100.00,0.100,202.40,2.024
45,SELL,1.27247,1.27447,102.00,0.100,205.53,2.015
46,BUY,1.26666,1.26466,104.00,0.100,207.90,1.999
47,SELL,1.27178,1.27378,106.00,0.100,-106.00,-1.000
48,BUY,1.27568,1.27368,106.00,0.100,-106.00,-1.000
49,BUY,1.27286,1.27086,104.00,0.100,212.16,2.040
50,SELL,1.27457,1.27657,106.00,0.100,208.50,1.967
51,BUY,1.27122,1.26923,107.46,0.500,-108.54,-1.010
52,SELL,1.26988,1.27188,108.00,0.100,-109.19,-1.011
53,BUY,1.27208,1.27008,106.00,0.100,-106.00,-1.000
54,SELL,1.27034,1.27234,106.00,0.500,212.00,2.000
55,SELL,1.27121,1.27321,108.00,0.500,216.00,2.000
56,SELL,1.26792,1.26991,109.45,0.100,-110.00,-1.005
57,SELL,1.26804,1.27004,108.00,0.500,-108.00,-1.000
58,BUY,1.27269,1.27069,108.00,0.100,-108.00,-1.000
59,BUY,1.26922,1.26722,106.00,0.300,216.77,2.045
60,BUY,1.27241,1.27041,108.00,0.300,-113.94,-1.055
61,BUY,1.26812,1.26612,108.00,0.300,-108.00,-1.000
62,SELL,1.26772,1.26972,106.00,0.500,-106.00,-1.000
63,BUY,1.26875,1.26675,106.00,0.500,-107.06,-1.010
64,BUY,1.26619,1.26419,104.00,0.200,-104.52,-1.005
65,BUY,1.26454,1.26259,101.40,0.100,-102.96,-1.015
66,SELL,1.26553,1.26753,102.00,0.100,-102.00,-1.000
67,SELL,1.26772,1.26972,102.00,0.100,-102.00,-1.000
68,BUY,1.26987,1.26787,100.00,0.100,201.00,2.010
69,SELL,1.27380,1.27580,102.00,0.300,-103.12,-1.011
70,SELL,1.27624,1.27824,102.00,0.100,204.51,2.005
