id,dir,entry,stop,risk,pl,R
1158,BUY,1.08632,1.08532,100.00,-100.00,-1.000
1159,SELL,1.08502,1.08602,100.00,116.00,1.160
1160,BUY,1.08386,1.08286,100.00,-100.00,-1.000
1161,SELL,1.08410,1.08510,100.00,-100.00,-1.000
1162,SELL,1.08538,1.08638,100.00,-104.00,-1.040
1163,SELL,1.08344,1.08444,100.00,-101.00,-1.010
1164,SELL,1.08467,1.08567,100.00,-100.00,-1.000
1165,BUY,1.08500,1.08400,100.00,-113.00,-1.130
1166,BUY,1.08402,1.08302,100.00,100.00,1.000
1167,BUY,1.08320,1.08220,100.00,100.00,1.000
1168,SELL,1.08636,1.08736,100.00,100.00,1.000
1169,BUY,1.08491,1.08391,100.00,101.00,1.010
1170,BUY,1.08498,1.08398,100.00,104.00,1.040
1171,SELL,1.08675,1.08775,100.00,100.00,1.000
1172,BUY,1.08543,1.08443,100.00,100.00,1.000
1173,BUY,1.08523,1.08423,100.00,-102.00,-1.020
1174,SELL,1.08077,1.08177,100.00,-100.00,-1.000
1175,SELL,1.08205,1.08305,100.00,-102.00,-1.020
1176,BUY,1.08106,1.08006,100.00,-106.00,-1.060
1177,BUY,1.08000,1.07900,100.00,102.00,1.020
1178,BUY,1.08193,1.08093,100.00,-100.00,-1.000
1179,SELL,1.08131,1.08231,100.00,-100.00,-1.000
1180,SELL,1.08277,1.08377,100.00,-100.00,-1.000
1181,BUY,1.08343,1.08243,100.00,110.00,1.100
1182,SELL,1.08470,1.08570,100.00,101.00,1.010
1183,BUY,1.08311,1.08211,100.00,-109.00,-1.090
1184,BUY,1.08205,1.08105,100.00,-100.00,-1.000
1185,BUY,1.08126,1.08026,100.00,-101.00,-1.010
1186,BUY,1.08054,1.07954,100.00,100.00,1.000
1187,SELL,1.08182,1.08282,100.00,-104.00,-1.040
1188,BUY,1.08225,1.08125,100.00,97.90,0.979
1189,BUY,1.08188,1.08088,100.00,-102.00,-1.020
1190,BUY,1.07960,1.07860,100.00,-100.00,-1.000
1191,BUY,1.07864,1.07764,100.00,122.00,1.220
1192,SELL,1.07986,1.08086,100.00,100.00,1.000
1193,SELL,1.08058,1.08158,100.00,-100.00,-1.000
1194,SELL,1.08137,1.08237,100.00,101.00,1.010
1195,BUY,1.08036,1.07936,100.00,-100.00,-1.000
1196,BUY,1.07919,1.07819,100.00,-103.00,-1.030
1197,BUY,1.07947,1.07847,100.00,-107.00,-1.070
1198,BUY,1.07940,1.07840,100.00,100.00,1.000
1199,SELL,1.08088,1.08188,100.00,-100.00,-1.000
1200,SELL,1.08446,1.08546,100.00,-145.00,-1.450
1201,SELL,1.08623,1.08723,100.00,100.00,1.000
1202,SELL,1.08549,1.08649,100.00,-100.00,-1.000
1203,SELL,1.08699,1.08799,100.00,-101.00,-1.010
1204,SELL,1.08861,1.08961,100.00,-101.00,-1.010
