id,dir,entry,stop,risk,pl,R
1528,SELL,1.11378,1.11478,100.00,-101.00,-1.010
1529,SELL,1.11562,1.11662,100.00,-101.00,-1.010
1530,SELL,1.11774,1.11874,100.00,100.00,1.000
1531,BUY,1.11674,1.11574,100.00,-100.00,-1.000
1532,BUY,1.11530,1.11430,100.00,101.00,1.010
1533,SELL,1.11642,1.11738,96.00,-96.00,-1.000
1534,BUY,1.11681,1.11583,98.00,-104.00,-1.061
1535,BUY,1.11493,1.11398,95.00,-97.00,-1.021
1536,BUY,1.11393,1.11294,99.00,104.00,1.051
1537,BUY,1.11443,1.11346,97.00,105.00,1.082
1538,SELL,1.11549,1.11648,99.00,-104.00,-1.051
1539,SELL,1.11650,1.11748,98.00,-99.00,-1.010
1540,BUY,1.11676,1.11577,99.00,-101.00,-1.020
1541,BUY,1.11538,1.11439,99.00,-99.00,-1.000
1542,BUY,1.11433,1.11333,100.00,-153.00,-1.530
1543,BUY,1.11244,1.11191,53.00,-56.00,-1.057
1544,SELL,1.11269,1.11368,99.00,113.00,1.141
1545,BUY,1.11136,1.11037,99.00,-101.00,-1.020
1546,BUY,1.11016,1.10916,100.00,-102.00,-1.020
1547,BUY,1.10877,1.10777,90.00,90.00,1.000
1548,BUY,1.10929,1.10829,100.00,101.00,1.010
1549,SELL,1.11046,1.11146,100.00,-100.00,-1.000
1550,SELL,1.11142,1.11242,100.00,-100.00,-1.000
1551,BUY,1.11089,1.10994,84.55,94.34,1.116
1552,SELL,1.11236,1.11335,99.00,-101.00,-1.020
1553,SELL,1.11335,1.11432,86.33,94.34,1.093
1554,BUY,1.11228,1.11129,99.00,103.00,1.040
1555,SELL,1.11400,1.11499,99.00,101.00,1.020
1556,BUY,1.11257,1.11157,100.00,-100.00,-1.000
1557,SELL,1.11152,1.11252,100.00,-100.00,-1.000
1558,SELL,1.11149,1.11249,100.00,-102.00,-1.020
1559,SELL,1.11314,1.11414,88.00,-88.00,-1.000
1560,BUY,1.11307,1.11207,81.00,81.00,1.000
1561,SELL,1.11444,1.11544,88.00,89.76,1.020
1562,SELL,1.11396,1.11495,99.00,-99.00,-1.000
1563,SELL,1.11510,1.11607,84.39,-88.74,-1.052
1564,SELL,1.11607,1.11707,79.00,79.00,1.000
1565,BUY,1.11489,1.11390,85.14,86.86,1.020
1566,BUY,1.11801,1.11701,93.00,93.00,1.000
1567,SELL,1.11938,1.12037,99.00,102.00,1.030
1568,SELL,1.11882,1.11982,100.00,-102.00,-1.020
1569,SELL,1.12016,1.12113,97.00,-97.00,-1.000
1570,SELL,1.12104,1.12202,91.14,96.72,1.061
1571,BUY,1.11998,1.11900,98.00,-106.00,-1.082
1572,BUY,1.11896,1.11796,92.00,-92.00,-1.000
1573,BUY,1.11800,1.11700,84.00,-90.72,-1.080
1574,BUY,1.11672,1.11575,74.69,-81.62,-1.093
1575,BUY,1.11509,1.11409,70.00,-73.50,-1.050
1576,BUY,1.11372,1.11272,64.00,-64.00,-1.000
1577,BUY,1.11271,1.11171,58.00,59.16,1.020
1578,BUY,1.11365,1.11267,61.74,-64.26,-1.041
1579,SELL,1.11539,1.11634,55.10,61.48,1.116
1580,BUY,1.11432,1.11333,62.37,-63.00,-1.010
1581,BUY,1.11282,1.11183,57.42,60.90,1.061
1582,SELL,1.11409,1.11509,63.00,-63.63,-1.010
1583,SELL,1.11528,1.11628,57.00,-57.00,-1.000
1584,BUY,1.11547,1.11455,47.84,-48.88,-1.022
1585,SELL,1.11508,1.11605,46.56,50.40,1.082
1586,SELL,1.11437,1.11537,53.00,-53.00,-1.000
1587,BUY,1.11464,1.11364,48.00,48.96,1.020
1588,BUY,1.11530,1.11435,49.40,-49.40,-1.000
1589,BUY,1.11360,1.11262,47.04,-48.00,-1.020
1590,BUY,1.11266,1.11166,44.00,44.44,1.010
1591,SELL,1.11367,1.11467,48.00,-48.48,-1.010
1592,SELL,1.11468,1.11565,42.68,-43.56,-1.021
1593,SELL,1.11619,1.11717,39.20,-39.20,-1.000
1594,SELL,1.11715,1.11813,35.28,-35.64,-1.010
1595,SELL,1.11859,1.11958,32.67,33.99,1.040
1596,BUY,1.11753,1.11656,34.92,-35.17,-1.007
1597,SELL,1.11701,1.11799,32.34,46.20,1.429
1598,BUY,1.11528,1.11461,24.79,-28.49,-1.149
1599,BUY,1.11427,1.11327,35.00,-37.80,-1.080
