id,dir,entry,stop,risk,pl,R
1480,SELL,1.06893,1.06993,100.00,100.00,1.000
1481,BUY,1.06786,1.06686,100.00,101.00,1.010
1482,SELL,1.06910,1.07010,100.00,101.00,1.010
1483,BUY,1.06809,1.06709,100.00,104.00,1.040
1484,SELL,1.06913,1.07013,100.00,100.00,1.000
1485,BUY,1.06813,1.06713,100.00,100.00,1.000
1486,SELL,1.06913,1.07013,100.00,-106.00,-1.060
1487,SELL,1.07053,1.07153,100.00,-101.00,-1.010
1488,SELL,1.07144,1.07244,100.00,-103.00,-1.030
1489,SELL,1.07245,1.07345,100.00,-101.00,-1.010
1490,SELL,1.07345,1.07445,100.00,-100.00,-1.000
1491,SELL,1.07458,1.07558,100.00,100.00,1.000
1492,BUY,1.07341,1.07241,100.00,-100.00,-1.000
1493,SELL,1.07268,1.07368,100.00,-100.00,-1.000
1494,BUY,1.07326,1.07226,100.00,101.00,1.010
1495,BUY,1.07389,1.07289,100.00,-104.00,-1.040
1496,BUY,1.07252,1.07152,100.00,100.00,1.000
1497,BUY,1.07302,1.07202,100.00,-100.00,-1.000
1498,BUY,1.07181,1.07081,100.00,-100.00,-1.000
1499,BUY,1.07050,1.06950,100.00,-100.00,-1.000
1500,BUY,1.06946,1.06846,100.00,101.00,1.010
1501,SELL,1.07047,1.07147,100.00,-100.00,-1.000
1502,SELL,1.07128,1.07228,100.00,104.00,1.040
1503,BUY,1.07024,1.06924,100.00,-102.00,-1.020
1504,BUY,1.06873,1.06773,100.00,104.00,1.040
1505,BUY,1.06912,1.06812,100.00,-101.00,-1.010
1506,SELL,1.06863,1.06963,100.00,103.00,1.030
1507,BUY,1.06760,1.06660,100.00,-100.00,-1.000
1508,BUY,1.06662,1.06562,100.00,100.00,1.000
1509,SELL,1.06762,1.06862,100.00,-101.00,-1.010
1510,BUY,1.06833,1.06733,100.00,112.00,1.120
1511,SELL,1.06945,1.07045,100.00,101.00,1.010
1512,BUY,1.06844,1.06744,100.00,-100.00,-1.000
1513,BUY,1.06746,1.06646,100.00,101.00,1.010
1514,SELL,1.06851,1.06951,100.00,-105.00,-1.050
1515,SELL,1.06967,1.07067,100.00,100.00,1.000
1516,BUY,1.06840,1.06740,100.00,103.00,1.030
1517,SELL,1.06953,1.07053,100.00,-130.00,-1.300
1518,SELL,1.07057,1.07157,100.00,-104.00,-1.040
1519,SELL,1.07160,1.07260,100.00,-105.00,-1.050
1520,BUY,1.07220,1.07120,100.00,-105.00,-1.050
1521,BUY,1.07117,1.07017,100.00,-100.00,-1.000
1522,BUY,1.07019,1.06919,100.00,120.30,1.203
1523,SELL,1.07140,1.07240,100.00,107.00,1.070
1524,BUY,1.07014,1.06914,100.00,-101.00,-1.010
1525,BUY,1.06914,1.06814,100.00,102.00,1.020
1526,SELL,1.07021,1.07121,100.00,100.00,1.000
1527,BUY,1.06921,1.06821,100.00,102.00,1.020
1528,SELL,1.07023,1.07123,100.00,-107.00,-1.070
1529,SELL,1.07084,1.07184,100.00,-104.00,-1.040
1530,SELL,1.07147,1.07247,100.00,100.00,1.000
1531,BUY,1.07017,1.06917,100.00,101.00,1.010
1532,SELL,1.07134,1.07234,100.00,-102.00,-1.020
1533,BUY,1.07209,1.07109,100.00,-100.00,-1.000
1534,BUY,1.07080,1.06980,100.00,369.30,3.693
1535,BUY,1.07430,1.07330,100.00,-101.00,-1.010
1536,BUY,1.07359,1.07259,100.00,100.00,1.000
1537,SELL,1.07459,1.07559,100.00,-101.00,-1.010
1538,SELL,1.07574,1.07674,100.00,100.00,1.000
