time,event,a,b,c,d,e
2026.07.07 14:05:00,ENTRY_ACCEPTED,P2_EURUSD_1783432800,id=33,1.14336,lot=3.79,riskP=91.91/A=49.27
2026.07.07 14:06:35,EXIT,id=33,STOP,-53.06,R=-1.077,
2026.07.07 14:25:00,ENTRY_ATTEMPT,P2_EURUSD_1783434000,SELL,3.51,1.14360,1.14371
2026.07.07 14:25:00,ENTRY_ACCEPTED,P2_EURUSD_1783434000,id=34,1.14360,lot=3.51,riskP=91.38/A=38.61
2026.07.07 14:25:33,EXIT,id=34,STOP,-38.61,R=-1.000,
2026.07.07 15:00:00,ENTRY_ATTEMPT,P1_EURUSD_1783436100,BUY,1.16,1.14326,1.14248
2026.07.07 15:00:00,ENTRY_ACCEPTED,P1_EURUSD_1783436100,id=35,1.14326,lot=1.16,riskP=91.00/A=90.48
2026.07.07 15:35:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1783438200,,,,
2026.07.07 16:10:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783440300,,,,
2026.07.07 17:11:17,EXIT,id=35,STOP,-92.80,R=-1.026,
2026.07.07 17:15:00,ENTRY_ATTEMPT,P1_EURUSD_1783444200,BUY,4.09,1.14266,1.14244
2026.07.07 17:15:00,ENTRY_ACCEPTED,P1_EURUSD_1783444200,id=36,1.14266,lot=4.09,riskP=90.07/A=89.98
2026.07.07 17:22:13,EXIT,id=36,TARGET,179.96,R=2.000,
2026.07.07 18:00:00,ENTRY_ATTEMPT,P2_EURUSD_1783446900,SELL,2.04,1.14332,1.14377
2026.07.07 18:00:00,ENTRY_ACCEPTED,P2_EURUSD_1783446900,id=37,1.14332,lot=2.04,riskP=91.87/A=91.80
2026.07.07 18:25:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783448400,,,,
2026.07.07 18:54:48,EXIT,id=37,TARGET,183.60,R=2.000,
2026.07.07 19:05:00,ENTRY_ATTEMPT,P1_EURUSD_1783450800,BUY,4.68,1.14236,1.14216
2026.07.07 19:05:00,ENTRY_ACCEPTED,P1_EURUSD_1783450800,id=38,1.14236,lot=4.68,riskP=93.70/A=93.60
2026.07.07 19:07:37,EXIT,id=38,STOP,-98.28,R=-1.050,
2026.07.07 20:10:00,ENTRY_ATTEMPT,P2_EURUSD_1783454700,SELL,3.32,1.14250,1.14259
2026.07.07 20:10:00,ENTRY_ACCEPTED,P2_EURUSD_1783454700,id=39,1.14250,lot=3.32,riskP=92.72/A=29.88
2026.07.07 20:12:28,EXIT,id=39,TARGET,59.76,R=2.000,
2026.07.07 21:05:00,ENTRY_ATTEMPT,P2_EURUSD_1783458000,SELL,4.05,1.14277,1.14300
2026.07.07 21:05:00,ENTRY_ACCEPTED,P2_EURUSD_1783458000,id=40,1.14277,lot=4.05,riskP=93.32/A=93.15
2026.07.07 21:23:39,EXIT,id=40,STOP,-93.15,R=-1.000,
2026.07.07 22:00:00,ENTRY_ATTEMPT,P1_EURUSD_1783461300,BUY,4.49,1.14186,1.14169
2026.07.07 22:00:00,ENTRY_ACCEPTED,P1_EURUSD_1783461300,id=41,1.14186,lot=4.49,riskP=92.39/A=76.33
2026.07.07 22:00:44,EXIT,id=41,STOP,-76.33,R=-1.000,
2026.07.07 22:20:00,ENTRY_ATTEMPT,P1_EURUSD_1783462500,BUY,3.41,1.14117,1.14107
2026.07.07 22:20:00,ENTRY_ACCEPTED,P1_EURUSD_1783462500,id=42,1.14117,lot=3.41,riskP=91.62/A=34.10
2026.07.07 22:20:42,EXIT,id=42,STOP,-34.10,R=-1.000,
2026.07.07 23:25:00,ENTRY_ATTEMPT,P1_EURUSD_1783466400,BUY,3.51,1.14143,1.14117
2026.07.07 23:25:00,ENTRY_ACCEPTED,P1_EURUSD_1783466400,id=43,1.14143,lot=3.51,riskP=91.28/A=91.26
2026.07.07 23:35:52,EXIT,id=43,STOP,-91.26,R=-1.000,
2026.07.07 23:45:00,ENTRY_ATTEMPT,P1_EURUSD_1783467600,BUY,4.47,1.14121,1.14104
2026.07.07 23:45:00,ENTRY_ACCEPTED,P1_EURUSD_1783467600,id=44,1.14121,lot=4.47,riskP=90.37/A=75.99
2026.07.07 23:56:16,EXIT,id=44,STOP,-75.99,R=-1.000,
2026.07.08 00:10:00,ENTRY_ATTEMPT,P2_EURUSD_1783469100,SELL,1.37,1.14145,1.14210
2026.07.08 00:10:00,ENTRY_ACCEPTED,P2_EURUSD_1783469100,id=45,1.14145,lot=1.37,riskP=89.61/A=89.05
2026.07.08 01:45:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783474800,,,,
