READINESS,connected_and_synced,YES,waited_ms=2010,terminal_connected=1,bars_m1=100000,synced=1,
section,key,v1,v2,v3,v4,v5,v6
ENV,build,6096,,,,,
ENV,company,MetaQuotes Ltd.,,,,,
ENV,server,MetaQuotes-Demo,10012089985,DEMO,,,
PENETRATION,YEAR_B,1.16583,bidUp=1754672806592,askUp=1754672783917,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16591,bidUp=1754673011054,askUp=1754672805970,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16599,bidUp=1754673677519,askUp=1754672919854,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16608,bidUp=1754673805089,askUp=1754673676430,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16616,bidUp=1754673805360,askUp=1754673679673,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B,1.16624,bidUp=1754673897422,askUp=1754673805360,bidDn=1754670600490,askDn=1754670600490,DIVERGENT
PENETRATION,YEAR_B_SUMMARY,21,21,100.0,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,WINTER_A,2026.01.15 10:00:00,2026.01.15 11:00:00,4911,0,ny_off=-4,srv_utc=3
METRICS,WINTER_A_flagcounts,4911,3488,3128,0,1705,0
METRICS,WINTER_A_onlyflags,1783,1423,only_bid / only_ask,,,
METRICS,WINTER_A_valuecounts,4911,4911,0,values present (not necessarily updated),,
METRICS,WINTER_A_spread,0.00000,0.00004,0.00003,100.00,pct_ticks_with_spread,
PENETRATION,WINTER_A,1.16268,bidUp=1768471200127,askUp=1768471200127,bidDn=1768471572324,askDn=-1,DIVERGENT
PENETRATION,WINTER_A,1.16272,bidUp=1768471200127,askUp=1768471200127,bidDn=1768471545784,askDn=1768471555754,DIVERGENT
PENETRATION,WINTER_A,1.16276,bidUp=1768471200127,askUp=1768471200127,bidDn=1768471533860,askDn=1768471545765,DIVERGENT
PENETRATION,WINTER_A,1.16281,bidUp=1768471200127,askUp=1768471200127,bidDn=1768471200334,askDn=1768471248541,DIVERGENT
PENETRATION,WINTER_A,1.16285,bidUp=1768471200127,askUp=1768471200127,bidDn=1768471200138,askDn=1768471200227,DIVERGENT
PENETRATION,WINTER_A,1.16289,bidUp=1768471295820,askUp=1768471204261,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16294,bidUp=1768471316909,askUp=1768471316849,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16298,bidUp=1768471328260,askUp=1768471321814,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16302,bidUp=1768471328380,askUp=1768471328282,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16306,bidUp=1768471331589,askUp=1768471330985,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16310,bidUp=1768472387475,askUp=1768472386344,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16315,bidUp=1768472398500,askUp=1768472392349,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16319,bidUp=1768472441087,askUp=1768472435926,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16323,bidUp=1768472458026,askUp=1768472442422,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16328,bidUp=1768472458430,askUp=1768472458130,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16332,bidUp=1768472725877,askUp=1768472469841,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16336,bidUp=1768472736240,askUp=1768472736185,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16340,bidUp=1768472781115,askUp=1768472764936,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16344,bidUp=1768472884237,askUp=1768472781193,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16349,bidUp=1768472885879,askUp=1768472884270,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A,1.16353,bidUp=1768473596809,askUp=1768473554183,bidDn=1768471200127,askDn=1768471200127,DIVERGENT
PENETRATION,WINTER_A_SUMMARY,21,21,100.0,pct_levels_where_bid_and_ask_rules_differ,,
WINDOW,WINTER_B,2026.01.15 16:30:00,2026.01.15 17:50:00,11211,0,ny_off=-4,srv_utc=3
METRICS,WINTER_B_flagcounts,11211,7516,7046,0,3351,0
METRICS,WINTER_B_onlyflags,4165,3695,only_bid / only_ask,,,
METRICS,WINTER_B_valuecounts,11211,11211,0,values present (not necessarily updated),,
METRICS,WINTER_B_spread,0.00000,0.00004,0.00003,100.00,pct_ticks_with_spread,
