seq,time,event,detail
192,2026.07.10 11:37:36,EXIT,id=24 reason=STOP exit=1.14330 pnl=-86.64 R=-1.000 bal=8579.66
193,2026.07.10 12:05:00,PATTERN_DETECTED,ref=1.14305 l2=1.14300 c2=1.14304 c3=1.14341 t3=2026.07.10 12:00:00 rule=A_prime_K3_strict_left
194,2026.07.10 12:05:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
195,2026.07.10 12:10:00,ENTRY,id=25 entry=1.14321 c3close=1.14341 gap_pts=-20.0 sl=1.14299 tp=1.14365 vol=3.89 risk=85.58 tv=SYMBOL_TRADE_TICK_VALUE
196,2026.07.10 12:36:26,EXIT,id=25 reason=STOP exit=1.14298 pnl=-89.47 R=-1.045 bal=8490.19
197,2026.07.10 12:55:00,PATTERN_DETECTED,ref=1.14294 l2=1.14280 c2=1.14290 c3=1.14283 t3=2026.07.10 12:50:00 rule=A_prime_K3_strict_left
198,2026.07.10 12:55:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
199,2026.07.10 13:00:00,SKIPPED_INVALID_STOP,ask<=sl
200,2026.07.10 14:20:00,PATTERN_DETECTED,ref=1.14309 l2=1.14304 c2=1.14305 c3=1.14306 t3=2026.07.10 14:15:00 rule=A_prime_K3_strict_left
201,2026.07.10 14:20:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
202,2026.07.10 14:25:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
203,2026.07.10 15:40:00,PATTERN_DETECTED,ref=1.14287 l2=1.14254 c2=1.14258 c3=1.14294 t3=2026.07.10 15:35:00 rule=A_prime_K3_strict_left
204,2026.07.10 15:40:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
205,2026.07.10 15:45:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
206,2026.07.10 16:15:00,PATTERN_DETECTED,ref=1.14224 l2=1.14197 c2=1.14220 c3=1.14221 t3=2026.07.10 16:10:00 rule=A_prime_K3_strict_left
207,2026.07.10 16:15:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
208,2026.07.10 16:20:00,ENTRY,id=26 entry=1.14221 c3close=1.14221 gap_pts=0.0 sl=1.14196 tp=1.14271 vol=3.39 risk=84.75 tv=SYMBOL_TRADE_TICK_VALUE
209,2026.07.10 16:27:53,EXIT,id=26 reason=STOP exit=1.14196 pnl=-84.75 R=-1.000 bal=8405.44
210,2026.07.10 17:10:00,PATTERN_DETECTED,ref=1.14187 l2=1.14166 c2=1.14185 c3=1.14201 t3=2026.07.10 17:05:00 rule=A_prime_K3_strict_left
211,2026.07.10 17:10:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
212,2026.07.10 17:15:00,ENTRY,id=27 entry=1.14236 c3close=1.14201 gap_pts=35.0 sl=1.14165 tp=1.14378 vol=1.18 risk=83.78 tv=SYMBOL_TRADE_TICK_VALUE
213,2026.07.10 17:33:06,EXIT,id=27 reason=STOP exit=1.14160 pnl=-89.68 R=-1.070 bal=8315.76
214,2026.07.10 20:15:00,PATTERN_DETECTED,ref=1.14268 l2=1.14260 c2=1.14263 c3=1.14273 t3=2026.07.10 20:10:00 rule=A_prime_K3_strict_left
215,2026.07.10 20:15:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
216,2026.07.10 20:20:00,SKIPPED_INVALID_STOP,ask<=sl
217,2026.07.10 20:30:00,PATTERN_DETECTED,ref=1.14240 l2=1.14221 c2=1.14229 c3=1.14250 t3=2026.07.10 20:25:00 rule=A_prime_K3_strict_left
218,2026.07.10 20:30:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
219,2026.07.10 20:35:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
220,2026.07.10 23:45:00,PATTERN_DETECTED,ref=1.14129 l2=1.14114 c2=1.14121 c3=1.14129 t3=2026.07.10 23:40:00 rule=A_prime_K3_strict_left
221,2026.07.10 23:45:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
222,2026.07.10 23:50:00,ENTRY,id=28 entry=1.14134 c3close=1.14129 gap_pts=5.0 sl=1.14113 tp=1.14176 vol=3.95 risk=82.95 tv=SYMBOL_TRADE_TICK_VALUE
